*****************************************************************************************************
For file graph_gen3.txt 
Total Number of Pages : 1000
Total Number of Nodes in Cluster :4
Running time at 0 = 0.143185

*****************************************************************************************************
Page Ranks
-----------------------------------------------------------------------------------------------------
Page 383: 0.001001
Page 384: 0.001001
Page 385: 0.001001
Page 386: 0.001001
Page 387: 0.001001
Page 388: 0.001001
Page 389: 0.001001
Page 390: 0.001001
Page 391: 0.001001
Page 392: 0.001001
Page 393: 0.001001
Page 394: 0.001001
Page 395: 0.001001
Page 396: 0.001001
Page 397: 0.001001
Page 398: 0.001001
Page 399: 0.001001
Page 400: 0.001001
Page 401: 0.001001
Page 402: 0.001001
Page 403: 0.001001
Page 404: 0.001001
Page 405: 0.001001
Page 406: 0.001001
Page 407: 0.001001
Page 408: 0.001001
Page 409: 0.001001
Page 410: 0.001001
Page 411: 0.001001
Page 412: 0.001001
Page 413: 0.001001
Page 414: 0.001001
Page 415: 0.001001
Page 416: 0.001001
Page 417: 0.001001
Page 418: 0.001001
Page 419: 0.001001
Page 420: 0.001001
Page 421: 0.001001
Page 422: 0.001001
Page 423: 0.001001
Page 424: 0.001001
Page 425: 0.001001
Page 426: 0.001001
Page 427: 0.001001
Page 428: 0.001001
Page 429: 0.001001
Page 430: 0.001001
Page 431: 0.001001
Page 432: 0.001001
Page 433: 0.001001
Page 434: 0.001001
Page 435: 0.001001
Page 436: 0.001001
Page 437: 0.001001
Page 438: 0.001001
Page 439: 0.001001
Page 440: 0.001001
Page 441: 0.001001
Page 442: 0.001001
Page 443: 0.001001
Page 444: 0.001001
Page 445: 0.001001
Page 446: 0.001001
Page 447: 0.001001
Page 448: 0.001001
Page 449: 0.001001
Page 450: 0.001001
Page 451: 0.001001
Page 452: 0.001001
Page 453: 0.001001
Page 454: 0.001001
Page 455: 0.001001
Page 456: 0.001001
Page 457: 0.001001
Page 458: 0.001001
Page 459: 0.001001
Page 460: 0.001001
Page 461: 0.001001
Page 462: 0.001001
Page 463: 0.001001
Page 464: 0.001001
Page 465: 0.001001
Page 466: 0.001001
Page 467: 0.001001
Page 468: 0.001001
Page 469: 0.001001
Page 470: 0.001001
Page 471: 0.001001
Page 472: 0.001001
Page 473: 0.001001
Page 474: 0.001001
Page 475: 0.001001
Page 476: 0.001001
Page 477: 0.001001
Page 478: 0.001001
Page 479: 0.001001
Page 480: 0.001001
Page 481: 0.001001
Page 482: 0.001001
Page 483: 0.001001
Page 484: 0.001001
Page 485: 0.001001
Page 486: 0.001001
Page 487: 0.001001
Page 488: 0.001001
Page 489: 0.001001
Page 490: 0.001001
Page 491: 0.001001
Page 492: 0.001001
Page 493: 0.001001
Page 494: 0.001001
Page 495: 0.001001
Page 496: 0.001001
Page 497: 0.001001
Page 498: 0.001001
Page 499: 0.001001
Page 500: 0.001001
Page 501: 0.001001
Page 502: 0.001001
Page 503: 0.001001
Page 504: 0.001001
Page 505: 0.001001
Page 506: 0.001001
Page 507: 0.001001
Page 508: 0.001001
Page 509: 0.001001
Page 510: 0.001001
Page 511: 0.001001
Page 512: 0.001001
Page 513: 0.001001
Page 514: 0.001001
Page 515: 0.001001
Page 516: 0.001001
Page 517: 0.001001
Page 518: 0.001001
Page 519: 0.001001
Page 520: 0.001001
Page 521: 0.001001
Page 522: 0.001001
Page 523: 0.001001
Page 524: 0.001001
Page 525: 0.001001
Page 526: 0.001001
Page 527: 0.001001
Page 528: 0.001001
Page 529: 0.001001
Page 530: 0.001001
Page 531: 0.001001
Page 532: 0.001001
Page 533: 0.001001
Page 534: 0.001001
Page 535: 0.001001
Page 536: 0.001001
Page 537: 0.001001
Page 538: 0.001001
Page 539: 0.001001
Page 540: 0.001001
Page 541: 0.001001
Page 542: 0.001001
Page 543: 0.001001
Page 544: 0.001001
Page 545: 0.001001
Page 546: 0.001001
Page 547: 0.001001
Page 548: 0.001001
Page 549: 0.001001
Page 550: 0.001001
Page 551: 0.001001
Page 552: 0.001001
Page 553: 0.001001
Page 554: 0.001001
Page 555: 0.001001
Page 556: 0.001001
Page 557: 0.001001
Page 558: 0.001001
Page 559: 0.001001
Page 560: 0.001001
Page 561: 0.001001
Page 562: 0.001001
Page 563: 0.001001
Page 564: 0.001001
Page 565: 0.001001
Page 566: 0.001001
Page 567: 0.001001
Page 568: 0.001001
Page 569: 0.001001
Page 570: 0.001001
Page 571: 0.001001
Page 572: 0.001001
Page 573: 0.001001
Page 574: 0.001001
Page 575: 0.001001
Page 576: 0.001001
Page 577: 0.001001
Page 578: 0.001001
Page 579: 0.001001
Page 580: 0.001001
Page 581: 0.001001
Page 582: 0.001001
Page 583: 0.001001
Page 584: 0.001001
Page 585: 0.001001
Page 586: 0.001001
Page 587: 0.001001
Page 588: 0.001001
Page 589: 0.001001
Page 590: 0.001001
Page 591: 0.001001
Page 592: 0.001001
Page 593: 0.001001
Page 594: 0.001001
Page 595: 0.001001
Page 596: 0.001001
Page 597: 0.001001
Page 598: 0.001001
Page 599: 0.001001
Page 600: 0.001001
Page 601: 0.001001
Page 602: 0.001001
Page 603: 0.001001
Page 604: 0.001001
Page 605: 0.001001
Page 606: 0.001001
Page 607: 0.001001
Page 608: 0.001001
Page 609: 0.001001
Page 610: 0.001001
Page 611: 0.001001
Page 612: 0.001001
Page 613: 0.001001
Page 614: 0.001001
Page 615: 0.001001
Page 616: 0.001001
Page 617: 0.001001
Page 618: 0.001001
Page 619: 0.001001
Page 620: 0.001001
Page 621: 0.001001
Page 622: 0.001001
Page 623: 0.001001
Page 624: 0.001001
Page 625: 0.001001
Page 626: 0.001001
Page 627: 0.001001
Page 628: 0.001001
Page 629: 0.001001
Page 630: 0.001001
Page 631: 0.001001
Page 632: 0.001001
